% time(s)	cellId	bwpId	IMSI	RNTI	frame	sframe	slot	symStart	numSym	harqId	ndi	rv	mcs	tbSize
2.1405	1	0	1	1	214	1	1	1	1	15	1	0	28	2037
2.1445	1	0	6	6	214	5	1	1	4	15	1	0	0	348
2.1465	1	0	2	2	214	7	1	1	1	15	1	0	26	1862
2.1485	1	0	5	5	214	9	1	1	2	15	1	0	0	172
2.1605	1	0	9	9	216	1	1	1	1	15	1	0	13	699
2.1615	1	0	4	4	216	2	1	1	1	15	1	0	28	2037
2.1655	1	0	8	8	216	6	1	1	3	15	1	0	0	260
2.1795	1	0	7	7	218	0	1	1	2	15	1	0	4	435
2.1795	1	0	3	3	218	0	1	3	1	15	1	0	15	874
2.1925	1	0	10	10	219	3	1	1	3	15	1	0	0	260
2.1945	1	0	5	5	219	5	1	1	2	15	1	0	2	274
2.2015	1	0	6	6	220	2	1	1	3	15	1	0	0	260
2.2015	1	0	2	2	220	2	1	4	1	15	1	0	26	1862
2.2025	1	0	1	1	220	3	1	1	1	15	1	0	28	2037
2.2165	1	0	4	4	221	7	1	1	1	15	1	0	18	1006
2.2175	1	0	8	8	221	8	1	1	2	15	1	0	0	172
2.2265	1	0	9	9	222	7	1	1	1	15	1	0	11	538
2.2315	1	0	7	7	223	2	1	1	2	15	1	0	2	274
2.237	1	0	3	3	223	8	0	1	1	15	1	0	11	538
2.2485	1	0	5	5	224	9	1	1	2	15	1	0	2	274
2.2495	1	0	10	10	225	0	1	1	2	15	1	0	0	172
2.2555	1	0	6	6	225	6	1	1	2	15	1	0	0	172
2.2615	1	0	2	2	226	2	1	1	1	15	1	0	26	1862
2.2725	1	0	1	1	227	3	1	1	1	15	1	0	28	2037
2.2785	1	0	8	8	227	9	1	1	3	15	1	0	0	260
2.2825	1	0	9	9	228	3	1	1	1	15	1	0	8	428
2.2825	1	0	4	4	228	3	1	2	1	15	1	0	26	1862
2.2845	1	0	7	7	228	5	1	1	2	15	1	0	2	274
2.2995	1	0	3	3	230	0	1	1	1	15	1	0	24	1642
2.3015	1	0	10	10	230	2	1	1	2	15	1	0	0	172
