Time	CellId	RNTI	BWPId	SINR(dB)
0.174464	1	4	0	13.8592
0.174571	1	4	0	16.6732
0.174607	1	3	0	8.48229
0.174643	1	2	0	33.4642
0.174679	1	1	0	29.8339
0.175571	1	4	0	14.4832
0.175607	1	3	0	8.4146
0.175643	1	2	0	33.254
0.175679	1	1	0	29.8621
0.176571	1	4	0	13.9383
0.176607	1	3	0	8.31757
0.176643	1	2	0	32.9453
0.176679	1	1	0	29.9586
0.177571	1	4	0	14.676
0.177607	1	3	0	8.17341
0.177643	1	2	0	32.6047
0.177679	1	1	0	30.0285
0.178464	1	4	0	7.91082
0.178571	1	4	0	14.4462
0.178607	1	3	0	8.10786
0.178643	1	2	0	32.9695
0.178679	1	1	0	30.0387
0.179571	1	4	0	14.8431
0.179607	1	3	0	7.88866
0.179643	1	2	0	33.7824
0.179679	1	1	0	30.078
0.180464	1	4	0	16.789
0.180571	1	4	0	13.9775
0.180607	1	3	0	7.72626
0.180643	1	2	0	33.9253
0.180679	1	1	0	30.1553
0.181464	1	1	0	28.8356
0.181464	1	4	0	-15.0683
0.181571	1	4	0	13.5307
0.181607	1	3	0	7.82314
0.181643	1	2	0	33.7804
0.181679	1	1	0	30.2155
0.182571	1	4	0	14.8719
0.182607	1	3	0	7.75008
0.182643	1	2	0	33.7719
0.182679	1	1	0	30.1808
0.183964	1	4	0	-2.53531
0.184107	1	4	0	17.7387
0.184143	1	3	0	7.64268
0.184179	1	2	0	33.2671
0.184214	1	1	0	30.2044
0.184571	1	4	0	15.0646
0.184607	1	3	0	8.04989
0.184643	1	2	0	32.9462
0.184679	1	1	0	30.1806
0.185464	1	3	0	7.65634
0.185571	1	4	0	15.0216
0.185607	1	3	0	8.13512
0.185643	1	2	0	32.737
0.185679	1	1	0	30.1905
0.186964	1	1	0	29.969
0.187071	1	4	0	15.0811
0.187107	1	3	0	7.73349
0.187143	1	2	0	32.9875
0.187179	1	1	0	30.1837
0.187571	1	4	0	16.8361
0.187607	1	3	0	8.17303
0.187643	1	2	0	33.0216
0.187679	1	1	0	30.1362
0.188571	1	4	0	16.757
0.188607	1	3	0	8.22298
0.188643	1	2	0	33.6089
0.188679	1	1	0	30.0007
0.189571	1	4	0	17.5783
0.189607	1	3	0	8.05689
0.189643	1	2	0	34.5335
0.189679	1	1	0	29.989
0.190571	1	4	0	15.2749
0.190607	1	3	0	7.9274
0.190643	1	2	0	35.0031
0.190679	1	1	0	29.9571
0.191571	1	4	0	15.5585
0.191607	1	3	0	7.53141
0.191643	1	2	0	35.1118
0.191679	1	1	0	29.9934
0.192464	1	1	0	28.8384
0.192571	1	4	0	17.3019
0.192607	1	3	0	7.56294
0.192643	1	2	0	35.1019
0.192679	1	1	0	30.0782
0.193571	1	4	0	19.0439
0.193607	1	3	0	7.40772
0.193643	1	2	0	35.2372
0.193679	1	1	0	30.0861
0.194464	1	4	0	15.5435
0.194571	1	4	0	15.913
0.194607	1	3	0	7.25651
0.194643	1	2	0	34.7901
0.194679	1	1	0	30.0767
0.195571	1	4	0	17.1259
0.195607	1	3	0	7.12336
0.195643	1	2	0	34.1009
0.195679	1	1	0	30.083
0.196571	1	4	0	17.4282
0.196607	1	3	0	7.23672
0.196643	1	2	0	33.8393
0.196679	1	1	0	30.1042
0.197571	1	4	0	17.0084
0.197607	1	3	0	7.17543
0.197643	1	2	0	33.9235
0.197679	1	1	0	30.1187
0.198464	1	4	0	18.3852
0.198571	1	4	0	17.0246
0.198607	1	3	0	7.11735
0.198643	1	2	0	34.0346
0.198679	1	1	0	30.0504
0.199571	1	4	0	20.4692
0.199607	1	3	0	6.94142
0.199643	1	2	0	34.0756
0.199679	1	1	0	30.0217
0.200571	1	4	0	17.9054
0.200607	1	3	0	6.26381
0.200643	1	2	0	34.5837
0.200679	1	1	0	30.1275
0.201571	1	4	0	17.1092
0.201607	1	3	0	6.16575
0.201643	1	2	0	34.9218
0.201679	1	1	0	30.1466
0.202571	1	4	0	16.3672
0.202607	1	3	0	6.06914
0.202643	1	2	0	34.5433
0.202679	1	1	0	30.1739
0.203571	1	4	0	18.0265
0.203607	1	3	0	6.173
0.203643	1	2	0	34.115
0.203679	1	1	0	30.117
0.204464	1	3	0	6.68993
0.204571	1	4	0	16.7045
0.204607	1	3	0	6.18913
0.204643	1	2	0	33.8329
0.204679	1	1	0	30.0909
0.205571	1	4	0	18.7611
0.205607	1	3	0	6.15654
0.205643	1	2	0	33.2924
0.205679	1	1	0	30.1424
0.206464	1	4	0	18.0015
0.206571	1	4	0	15.2616
0.206607	1	3	0	6.32904
0.206643	1	2	0	32.3772
0.206679	1	1	0	30.1506
0.207464	1	4	0	16.5143
0.207571	1	4	0	16.3665
0.207607	1	3	0	6.18178
0.207643	1	2	0	31.981
0.207679	1	1	0	30.1651
0.208571	1	4	0	15.9835
0.208607	1	3	0	6.21184
0.208643	1	2	0	32.2884
0.208679	1	1	0	30.1398
0.209464	1	3	0	4.92653
0.209464	1	4	0	-1.22318
0.209571	1	4	0	18.7466
0.209607	1	3	0	6.30972
0.209643	1	2	0	32.8327
0.209679	1	1	0	30.1099
0.210571	1	4	0	15.7137
0.210607	1	3	0	6.22484
0.210643	1	2	0	33.3417
0.210679	1	1	0	30.0354
0.211571	1	4	0	14.1091
0.211607	1	3	0	6.34424
0.211643	1	2	0	33.8607
0.211679	1	1	0	30.0337
0.212571	1	4	0	14.054
0.212607	1	3	0	6.45785
0.212643	1	2	0	34.1822
0.212679	1	1	0	29.9717
0.213429	1	4	0	19.1992
0.213571	1	4	0	15.5163
0.213607	1	3	0	6.44785
0.213643	1	2	0	34.2621
